4,642,828,Operate,stove,
0,934,1020,Open,fridge,
1,1044,1094,Take,egg_container,
1,1122,1223,Open,egg_container,
1,1221,1241,Take,egg,
1,1239,1326,Take,egg,
1,1328,1392,Put,egg_container,
1,1358,1401,Put,egg_container,
1,1399,1458,Close,egg_container,
0,1495,1621,Close,fridge,
1,1661,1686,Put,bowl,
1,1730,1777,Put,egg,
1,2021,2044,Take,egg,
1,2044,2190,Crack,egg,
1,2286,2326,Put,egg,
2,2377,2437,Open,milk_container,
2,2460,2482,Take,bowl,
2,2486,2552,Pour,milk_container,milk_container,bowl,
2,2578,2597,Put,milk_container,
2,2608,2656,Close,milk_container,
2,2686,2736,Open,seasoning_container,
2,2756,2790,Pour,seasoning,seasoning_container,egg,
2,2808,2829,Close,seasoning_container,
3,2841,3778,Mix,mixture,eating_utensil,
0,4104,4155,Move Around,condiment_container,
0,4267,4364,Open,cabinet,
0,4479,4553,Open,cabinet,
0,4616,4686,Close,cabinet,
4,4756,4800,Open,oil_container,
4,4824,4927,Pour,oil_container,oil_container,pan,
4,4999,5023,Put,oil_container,
3,5038,5077,Mix,mixture,eating_utensil,
3,5040,5446,Mix,mixture,eating_utensil,
5,5454,5501,Pour,egg,bowl,pan,
5,5501,5654,Pour,egg,bowl,pan,
5,5685,5718,Put,bowl,
2,5900,5923,Take,milk_container,
2,5947,6010,Put,milk_container,
2,6001,6035,Put,milk_container,
0,6038,6090,Close,fridge,
5,6830,7627,Mix,egg,
5,7627,8161,Move Around,egg,cooking_utensil,
5,8166,8204,Compress,egg,cooking_utensil,
6,8314,8381,Open,cabinet,
6,8472,8519,Take,cup,
6,8521,8622,Take,cup,
6,8697,8725,Put,cup,
0,8731,8793,Open,fridge,
6,8802,8835,Take,juice_container,
0,8837,8907,Close,fridge,
6,9017,9127,Pour,juice_container,juice_container,cup,
0,9319,9345,Open,fridge,
6,9351,9386,Put,juice_container,
6,9570,9606,Take,plate,
5,9723,9778,Move Around,egg,
5,9786,10074,Transfer,egg,pan,plate,
5,10299,10402,Transfer,cooking_utensil,pan,plate,
5,10444,10469,Put,cooking_utensil,
7,10728,10789,Pour,oil_container,oil_container,pan,
7,10802,10820,Close,oil_container,
7,10862,10892,Put,oil_container,
0,10928,11010,Open,fridge_drawer,
8,11038,11077,Take,bacon,
8,11082,11120,Take,bacon,
8,11264,11292,Take,bacon,
8,11496,11523,Open,bacon,
8,11529,11663,Divide/Pull Apart,bacon,
8,11733,11757,Take,plate,
8,11769,11789,Put,plate,
8,11806,11927,Transfer,bacon,bacon,plate,
8,11946,11965,Put,bacon,
8,11980,12171,Cut,bacon,
8,12175,12231,Take,bacon,
8,12251,12269,Put,bacon,
8,12310,12347,Transfer,bacon,plate,pan,
8,12353,12380,Put,bacon,
0,12630,12691,Open,fridge,
9,12726,12762,Take,bread_container,
8,12931,12958,Take,bacon,
0,12981,13013,Open,fridge,
8,13014,13037,Put,bacon,
9,13076,13103,Take,condiment_container,
9,13215,13232,Take,cooking_utensil,
8,13237,13259,Move Around,bacon,
8,13260,13427,Move Around,bacon,
8,13442,13472,Put,cooking_utensil,
8,13506,13547,Move Around,bacon,
8,13643,13670,Put,cooking_utensil,
8,13800,13825,Take,eating_utensil,
9,13892,13989,Open,bread_container,
9,13991,14078,Take,bread,
9,14106,14470,Cut,bread,
9,14544,14564,Put,eating_utensil,
9,14583,14642,Open,condiment_container,
9,14652,15172,Spread,condiment,bread,eating_utensil,
9,15179,15194,Put,bread,
9,15198,15732,Spread,condiment,bread,eating_utensil,
9,15733,15809,Put,bread,
9,15854,15884,Take,seasoning_container,
9,15884,15936,Put,seasoning_container,
0,16025,16057,Open,fridge,
0,16058,16079,Put,condiment_container,
8,16191,16292,Move Around,bacon,
0,16310,16334,Put,cooking_utensil,
