1,722,770,Operate,stove,
0,930,967,Open,fridge_drawer,
2,984,1040,Take,patty_container,
2,1069,1095,Put,patty_container,
2,1242,1271,Take,patty,
2,1430,1464,Put,patty_container,
2,1458,1494,Put,patty_container,
0,1509,1537,Close,fridge,
2,1731,1845,Take,plate,
2,1866,1910,Put,plate,
0,2071,2098,Open,fridge,
4,2106,2164,Take,lettuce_container,
0,2161,2186,Close,fridge,
4,2245,2292,Open,lettuce_container,
4,2312,2574,Take,lettuce,
4,2635,2674,Divide/Pull Apart,lettuce,
4,2694,2715,Divide/Pull Apart,lettuce,
4,2759,2783,Divide/Pull Apart,lettuce,
4,2893,2920,Wash,lettuce,
4,2913,3052,Wash,lettuce,
4,3070,3258,Wash,lettuce,
4,3263,3484,Wash,lettuce,
4,3504,3537,Move Around,lettuce,
4,3607,3649,Take,lettuce,
4,3652,3673,Divide/Pull Apart,lettuce,
0,3750,3794,Open,fridge,
3,3798,3910,Take,tomato,
3,3995,4083,Take,tomato,
3,4307,4336,Wash,tomato,
3,4333,4511,Wash,tomato,
6,4681,4810,Move Around,bread,cooking_utensil,
2,4823,4858,Move Around,patty,
2,4868,4969,Move Around,patty,
3,5179,5194,Cut,tomato,
3,5240,5616,Cut,tomato,
4,5616,5677,Cut,lettuce,
4,5702,6285,Cut,lettuce,
4,6290,6321,Put,eating_utensil,
4,6330,6385,Take,plate,
6,6472,6538,Take,bread_container,
6,6545,6690,Open,bread_container,
6,6779,6869,Take,bread,
6,6893,6919,Put,bread_container,
6,6947,7081,Divide/Pull Apart,bread,
6,7091,7147,Put,bread,
2,7187,7211,Move Around,patty,
2,7215,7731,Move Around,patty,
2,7736,7764,Move Around,patty,
2,7795,7881,Compress,patty,cooking_utensil,
3,8098,8141,Move Around,plate,
3,8234,8265,Move Around,tomato,
3,8275,8300,Put,tomato,
3,8317,8361,Put,tomato,
7,8439,8468,Transfer,lettuce,plate,sandwich,
7,8475,8505,Compress,sandwich,
7,8522,8596,Put,lettuce,
7,8597,8688,Put,lettuce,
8,8792,8839,Take,condiment_container,
6,8935,8951,Take,pan,
6,8952,8983,Take,pan,
6,9036,9103,Transfer,patty,pan,bread,
6,9102,9183,Put,patty,
6,9292,9336,Put,cooking_utensil,
8,9450,9588,Squeeze,condiment,sandwich,
8,9590,9613,Put,condiment_container,
0,9658,9702,Open,fridge,
8,9845,9897,Open,condiment_container,
8,9914,10039,Squeeze,condiment,sandwich,
8,10047,10059,Put,condiment_container,
8,10060,10084,Put,condiment_container,
9,10140,10176,Compress,sandwich,
9,10188,10308,Compress,sandwich,
