## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Alireza_2012_05_09_Pizza01.etg.data\Alireza_2012_05_09_Pizza01-ccd877bb-482c-485a-9c12-33ceab5cef31\Alireza_2012_05_09_Pizza01-1-recording.idf
## Date:	09.05.2012 15:44:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	18615
## Reversed:	none
## [Run]
## Subject:	Alireza_2012_05_09_Pizza01
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
1454957603	SMP	1	0.00	0.00	1		Blink
1454992102	SMP	1	1035.34	1167.28	2		Blink
1455025512	SMP	1	1031.74	1288.32	3		Blink
1455059416	SMP	1	1032.61	1344.37	4		Blink
1455091315	SMP	1	1124.37	1279.14	5		Blink
1455126277	SMP	1	-322.44	760.88	5		Blink
1455159098	SMP	1	-337.44	748.61	6		Blink
1455192006	SMP	1	1342.53	1344.06	7		Blink
1455226535	SMP	1	1265.78	1403.91	8		Blink
1455259692	SMP	1	1207.44	1365.68	9		Blink
1455290641	SMP	1	0.00	0.00	9		Blink
1455324085	SMP	1	0.00	0.00	10		Blink
1455390751	SMP	1	-300.34	883.34	12		Blink
1455428060	SMP	1	-285.76	903.14	13		Blink
1455458047	SMP	1	-299.06	910.63	13		Blink
1455491292	SMP	1	-361.08	804.85	15		Blink
1455525448	SMP	1	-342.73	761.71	15		Blink
1455560617	SMP	1	-336.86	753.27	15		Blink
1455591528	SMP	1	2167.30	1042.88	16		Blink
1455624389	SMP	1	1282.54	1485.64	17		Blink
1455658302	SMP	1	1277.00	1502.64	18		Blink
1455692844	SMP	1	1335.22	1477.88	19		Blink
1455723426	SMP	1	0.00	0.00	20		Blink
1455757326	SMP	1	0.00	0.00	21		Blink
1455790954	SMP	1	0.00	0.00	21		Blink
1455823453	SMP	1	0.00	0.00	22		Blink
1455857004	SMP	1	0.00	0.00	23		Blink
1455890394	SMP	1	0.00	0.00	24		Blink
1455923610	SMP	1	1335.22	1477.88	24		Blink
1455956621	SMP	1	0.00	0.00	25		Blink
1455990246	SMP	1	601.29	1282.25	26		Blink
1456023646	SMP	1	670.82	1368.47	27		Blink
1456056907	SMP	1	1116.12	1315.19	28		Blink
1456090137	SMP	1	1116.54	1252.42	28		Blink
1456123691	SMP	1	0.00	0.00	29		Blink
1456156598	SMP	1	0.00	0.00	30		Blink
1456188461	SMP	1	0.00	0.00	31		Blink
1456223052	SMP	1	0.00	0.00	31		Blink
1456255677	SMP	1	0.00	0.00	32		Blink
1456289189	SMP	1	0.00	0.00	33		Blink
1456321894	SMP	1	0.00	0.00	34		Blink
1456355635	SMP	1	0.00	0.00	35		Blink
1456390215	SMP	1	734.23	1458.64	35		Blink
1456422635	SMP	1	1752.18	1510.72	36		Blink
1456457132	SMP	1	1749.64	1515.83	37		Blink
1456488971	SMP	1	1749.66	1515.87	38		Blink
1456522462	SMP	1	0.00	0.00	39		Blink
1456554523	SMP	1	0.00	0.00	40		Blink
1456589105	SMP	1	0.00	0.00	40		Blink
1456622989	SMP	1	0.00	0.00	41		Blink
1456654561	SMP	1	0.00	0.00	42		Blink
1456689437	SMP	1	687.06	1458.27	43		Blink
1456723713	SMP	1	679.54	1456.75	44		Blink
1456755199	SMP	1	1104.53	1244.41	45		Blink
1456789730	SMP	1	1097.29	1316.39	45		Blink
1456822216	SMP	1	0.00	0.00	46		Blink
1456856122	SMP	1	0.00	0.00	47		Blink
1456887815	SMP	1	0.00	0.00	48		Blink
1456921172	SMP	1	0.00	0.00	48		Blink
1456954546	SMP	1	0.00	0.00	49		Blink
1456987435	SMP	1	0.00	0.00	50		Blink
1457020882	SMP	1	0.00	0.00	51		Blink
1457053952	SMP	1	0.00	0.00	52		Blink
1457088852	SMP	1	581.05	1247.07	53		Blink
1457122296	SMP	1	653.43	1412.02	53		Blink
1457155617	SMP	1	578.63	1294.50	54		Blink
1457188400	SMP	1	589.40	1253.11	55		Blink
1457224921	SMP	1	551.63	1562.09	55		Blink
1457253588	SMP	1	566.62	1330.51	56		Blink
1457287854	SMP	1	1076.78	1337.25	57		Blink
1457326621	SMP	1	1097.66	1331.41	58		Blink
1457355952	SMP	1	0.00	0.00	59		Blink
1457387409	SMP	1	0.00	0.00	59		Blink
1457420334	SMP	1	0.00	0.00	60		Blink
1457453389	SMP	1	0.00	0.00	61		Blink
1457486097	SMP	1	0.00	0.00	62		Blink
1457521518	SMP	1	-476.56	694.81	63		Blink
1457553507	SMP	1	-651.89	597.24	64		Blink
