## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Yin_2012_04_15_Pasta_autoWB.etg.data\Yin_2012_04_15_004-b74233b7-5336-48f6-95bb-450da8b37725\Yin_2012_04_15_004-1-recording.idf
## Date:	01.01.2001 00:04:55
## Version:	BeGaze 3.3.56
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	20076
## Reversed:	none
## [Run]
## Subject:	Yin_2012_04_15_004
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
243404077	SMP	1	564.16	512.27	00:00:00:01		Saccade
243465620	SMP	1	576.17	517.60	00:00:00:02		Saccade
243499626	SMP	1	575.67	519.98	00:00:00:03		Fixation
243534931	SMP	1	574.58	522.36	00:00:00:04		Fixation
243566393	SMP	1	574.88	523.14	00:00:00:04		Fixation
243600139	SMP	1	575.65	519.57	00:00:00:05		Fixation
243632133	SMP	1	575.89	520.74	00:00:00:06		Fixation
243665331	SMP	1	576.93	519.83	00:00:00:07		Fixation
243698892	SMP	1	578.26	518.95	00:00:00:07		Fixation
243731438	SMP	1	579.64	519.16	00:00:00:08		Fixation
243766213	SMP	1	581.83	517.56	00:00:00:09		Fixation
243799464	SMP	1	582.73	519.43	00:00:00:10		Fixation
243832233	SMP	1	586.99	520.34	00:00:00:11		Fixation
243865027	SMP	1	590.79	520.28	00:00:00:12		Fixation
243898956	SMP	1	595.80	520.04	00:00:00:12		Fixation
243933280	SMP	1	601.10	518.68	00:00:00:14		Fixation
243968878	SMP	1	609.92	515.93	00:00:00:14		Saccade
244009531	SMP	1	616.81	516.87	00:00:00:14		Saccade
244032230	SMP	1	625.50	517.25	00:00:00:16		Saccade
244071517	SMP	1	635.88	516.55	00:00:00:17		Saccade
244107436	SMP	1	648.25	516.85	00:00:00:17		Saccade
244134274	SMP	1	650.84	525.31	00:00:00:19		Saccade
244166221	SMP	1	661.03	530.32	00:00:00:19		Fixation
244198752	SMP	1	669.08	524.24	00:00:00:20		Fixation
244231201	SMP	1	676.13	531.68	00:00:00:20		Fixation
244297310	SMP	1	682.80	524.03	00:00:00:22		Fixation
244332400	SMP	1	683.97	524.22	00:00:00:23		Fixation
244364281	SMP	1	682.56	531.10	00:00:01:00		Fixation
244398160	SMP	1	680.52	522.30	00:00:01:00		Fixation
244431018	SMP	1	679.68	521.54	00:00:01:01		Fixation
244463665	SMP	1	676.65	520.47	00:00:01:02		Fixation
244497690	SMP	1	672.70	520.93	00:00:01:03		Fixation
244530476	SMP	1	669.49	524.94	00:00:01:03		Saccade
244563296	SMP	1	682.03	542.46	00:00:01:04		Saccade
244597270	SMP	1	681.94	543.69	00:00:01:05		Blink
244632735	SMP	1	681.94	543.72	00:00:01:06		Blink
244663914	SMP	1	912.09	755.25	00:00:01:07		Blink
244696315	SMP	1	1257.70	993.65	00:00:01:08		Saccade
244730496	SMP	1	978.00	580.84	00:00:01:08		Saccade
244764039	SMP	1	986.93	555.51	00:00:01:09		Saccade
244797572	SMP	1	989.22	559.26	00:00:01:10		Fixation
244830871	SMP	1	987.49	557.11	00:00:01:11		Fixation
244862950	SMP	1	987.75	554.27	00:00:01:11		Fixation
244897158	SMP	1	988.92	555.24	00:00:01:12		Fixation
244931229	SMP	1	986.68	561.63	00:00:01:13		Fixation
244963464	SMP	1	972.43	604.91	00:00:01:14		-
244997340	SMP	1	1111.74	1170.77	00:00:01:15		Blink
245030511	SMP	1	1104.46	1175.17	00:00:01:15		Blink
245063762	SMP	1	1100.09	1172.82	00:00:01:16		Blink
245096237	SMP	1	1097.35	1174.36	00:00:01:17		Blink
245129612	SMP	1	776.49	1029.93	00:00:01:18		Blink
245165369	SMP	1	743.80	716.82	00:00:01:19		Fixation
245197318	SMP	1	729.29	726.43	00:00:01:20		Fixation
245229014	SMP	1	734.66	728.07	00:00:01:20		Blink
245263397	SMP	1	738.40	726.06	00:00:01:21		Blink
245297808	SMP	1	746.30	737.21	00:00:01:22		Blink
245328998	SMP	1	745.63	737.26	00:00:01:23		Blink
245363248	SMP	1	633.70	1179.06	00:00:01:23		Blink
245395406	SMP	1	800.58	2005.77	00:00:02:00		Blink
245429375	SMP	1	433.97	1830.96	00:00:02:01		Blink
245462694	SMP	1	360.05	1582.00	00:00:02:02		Blink
245496491	SMP	1	204.19	724.06	00:00:02:03		Blink
245529390	SMP	1	113.02	752.72	00:00:02:04		Blink
245562730	SMP	1	120.64	729.09	00:00:02:04		Blink
245597004	SMP	1	141.65	705.89	00:00:02:05		Fixation
245630118	SMP	1	155.79	699.89	00:00:02:06		Fixation
245662299	SMP	1	198.14	684.41	00:00:02:07		Fixation
245694623	SMP	1	220.35	660.70	00:00:02:08		Fixation
245729207	SMP	1	271.17	668.57	00:00:02:09		Fixation
245761113	SMP	1	307.96	664.99	00:00:02:09		Fixation
245794789	SMP	1	342.68	656.96	00:00:02:10		Fixation
245827908	SMP	1	374.89	657.72	00:00:02:11		Fixation
245860923	SMP	1	408.28	650.75	00:00:02:11		Fixation
245894411	SMP	1	437.21	651.60	00:00:02:12		Fixation
245927683	SMP	1	462.99	656.49	00:00:02:13		Fixation
245961072	SMP	1	490.12	646.46	00:00:02:14		Fixation
245994243	SMP	1	515.42	641.59	00:00:02:15		Fixation
246027608	SMP	1	366.94	679.64	00:00:02:16		Saccade
246062375	SMP	1	206.61	675.28	00:00:02:16		Saccade
246093817	SMP	1	218.65	683.95	00:00:02:17		Fixation
246127280	SMP	1	234.42	682.84	00:00:02:18		Fixation
246160582	SMP	1	264.14	672.19	00:00:02:19		Fixation
246194988	SMP	1	287.17	664.94	00:00:02:19		Fixation
246260560	SMP	1	339.04	656.26	00:00:02:21		Saccade
246293673	SMP	1	368.77	664.24	00:00:02:22		Saccade
246326894	SMP	1	206.01	664.01	00:00:02:22		Saccade
246360284	SMP	1	154.22	672.48	00:00:03:00		Fixation
246393665	SMP	1	164.39	668.93	00:00:03:00		Fixation
246426873	SMP	1	209.55	653.43	00:00:03:01		Fixation
246467607	SMP	1	222.41	652.26	00:00:03:02		Fixation
246499100	SMP	1	257.93	642.18	00:00:03:02		Fixation
246528379	SMP	1	282.68	642.36	00:00:03:02		Fixation
246583173	SMP	1	298.33	642.18	00:00:03:06		Saccade
